Time,Price_open,Price_high,Price_low,Price_close,FIB_1_MA,FIB_1_1,FIB_1_2,FIB_1_3,FIB_1_4,FIB_1_5,FIB_1_6,FIB_1_7,FIB_1_8,FIB_1_9,FIB_1_10,FIB_1_11,FIB_1_12,FIB_2_MA,FIB_2_1,FIB_2_2,FIB_2_3,FIB_2_4,FIB_2_5,FIB_2_6,FIB_2_7,FIB_2_8,FIB_2_9,FIB_2_10,FIB_2_11,FIB_2_12,TS4_level_0,TS4_level_1,TS4_level_2,TS4_Target,TS4_level_4,TS4_level_5,RSHVB_Middle,RSHVB_Up ,RSHVB_Down ,JFPCC_Plot,T3V_Velocity,RSI_MA,RSI_Spot,MFI_Spot,MFI_MA,Senti_Spot,Accum_Plot,BBWP_Spot,BBWP_MA,DMI_Hist,DMI_Spot,DMI_MA,DMI_ADX,PMAR_Spot,PMAR_MA,Sorch_K,Sorch_D,WT_Spot,WT_MA,WT_Hist,VRSI_1,VRSI_2,VRSI_3,VRSI_MA,VRSI_4,TTF_Slow_Up,TTF_MA,TTF_Spot,TTF_Slow_Mid,PtoE_Spot,PtoB_Spot,PtoCF_Spot,PtoS_Spot,SQZM_Spot,VFI_MA,VFI_Spot,Intensity_Spot,VIX_Ind_MA1,VIX_Ind_MA2,VIX_Ind_MA3,VIX_Ind_Slow,VIX_Ind_Fast,Voli_Hist,Voli_MA,CM_Will_Hist,CM_Stoch_K1,CM_Stoch_D1,CM_Stoch_K2,CM_Stoch_D2,Hull_Hist
3/16/2012,2.352471,2.392664,2.321998,2.348998,2.055048,2.397114,2.347207,2.266457,2.213604,2.160752,2.095424,2.014673,1.949344,1.896492,1.84364,1.762889,1.712982,1.914843,2.066583,2.160457,2.236327,2.312197,2.40607,2.55781,1.763103,1.66923,1.59336,1.51749,1.423617,1.271876,2.350176,2.352521,2.353689,2.352424,2.348361,2.341747,2.34904,2.421336,2.276743,-0.022097,0.016781,65.203617,63.865183,75.339087,69.308601,0.011193,"7,33,262.45",34.52381,26.031746,13.510443,0.538345,17.393309,-8.528558,61.142857,68.442857,40.094031,46.714454,49.929364,48.935519,0.993845,77.150264,80.144678,84.984964,87.979378,92.819664,139.784318,-77.603058,150.003531,31.09063,-13.817634,16.439203,-30.929282,17.318654,0.031168,29.531117,30.470028,11.884043, -   , -   , -   , -   , -   ,0.901893,0.931612,3.711366,67.443397,74.146745,83.138456,80.863158,0.137471
3/19/2012,2.350735,2.354665,2.302664,2.334998,2.060592,2.407455,2.356849,2.274965,2.221372,2.167778,2.101533,2.01965,1.953405,1.899812,1.846218,1.764335,1.713728,1.916622,2.069798,2.164559,2.241147,2.317735,2.412496,2.565671,1.763447,1.668686,1.592098,1.51551,1.420749,1.267573,2.340057,2.344212,2.347371,2.349055,2.348824,2.346465,2.353522,2.425422,2.281623,-0.028771,0.003923,64.578406,61.764959,66.185735,68.684028,0.009836,"14,01,584.24",33.333333,31.428571,11.395815,-9.106449,3.34726,-7.617098,56,66.614286,39.77567,43.769055,47.323249,49.102848,-1.779599,79.3667,81.999889,86.256276,88.889465,93.145852,141.938535,-77.603058,151.632514,32.167739,-13.735281,16.341226,-30.744944,17.215435,0.032224,29.70216,30.044246,12.074316, -   , -   , -   , -   , -   ,0.504756,0.854002,4.513109,63.26623,68.67484,82.387786,82.105803,0.148754
3/20/2012,2.342866,2.346664,2.304665,2.328498,2.065897,2.416679,2.3655,2.282692,2.228493,2.174294,2.107301,2.024493,1.957499,1.9033,1.849102,1.766293,1.715115,1.914866,2.069338,2.164901,2.242137,2.319373,2.414936,2.569408,1.760394,1.664831,1.587596,1.51036,1.414797,1.260325,2.332351,2.336305,2.339993,2.343014,2.344951,2.345455,2.356135,2.427749,2.284521,-0.024799,-0.004379,63.885214,60.765847,60.751312,67.097485,0.008284,"22,85,138.05",32.142857,32.857143,10.996803,-13.80624,-7.458115,-6.678501,52.857143,64.714286,42.733916,42.11948,44.319719,47.7665,-3.446781,81.577972,83.835671,87.485103,89.742802,93.392233,144.653795,-77.603058,156.872465,33.525369,-13.697047,16.295738,-30.659362,17.167513,0.034651,29.562536,29.283287,10.638532, -   , -   , -   , -   , -   ,0.453839,0.781245,4.430131,61.524041,64.077889,82.387786,82.105803,0.147645
3/21/2012,2.335682,2.353331,2.306665,2.333164,2.071189,2.424925,2.373316,2.28981,2.235155,2.1805,2.112942,2.029436,1.961879,1.907223,1.852568,1.769062,1.717453,1.915641,2.071494,2.167911,2.245838,2.323764,2.420182,2.576035,1.759788,1.66337,1.585444,1.507517,1.4111,1.255246,2.332893,2.33403,2.336018,2.33835,2.34055,2.342185,2.357668,2.428615,2.28672,-0.0121,-0.006806,63.406167,61.25046,65.698776,66.817743,0.006905,"36,23,115.87",32.142857,32.936508,11.129096,-18.629617,-13.847435,-5.942368,52.857143,63.271429,45.93275,41.652661,42.201819,45.943538,-3.741718,83.555247,85.490202,88.617938,90.552893,93.680628,147.045175,-77.603058,157.806383,34.721058,-13.724496,16.328394,-30.720802,17.201917,0.03478,29.226334,28.55393,9.154277, -   , -   , -   , -   , -   ,0.564546,0.741845,4.347195,59.5299,61.440057,75.095953,80.207398,0.143529
3/22/2012,2.334423,2.34333,2.286664,2.313664,2.075991,2.432443,2.380437,2.29629,2.241215,2.18614,2.118064,2.033917,1.965841,1.910766,1.855691,1.771544,1.719539,1.916538,2.073649,2.170845,2.249401,2.327956,2.425152,2.582264,1.759427,1.662231,1.583675,1.50512,1.407924,1.250813,2.320074,2.324726,2.32849,2.331777,2.334701,2.337196,2.358022,2.42807,2.287973,0.000014,-0.009542,62.427752,58.024884,65.851461,66.624486,0.005025,"53,28,258.92",30.15873,32.460317,8.809744,-25.528928,-19.321595,-5.522925,48,61.528571,47.174304,42.168781,37.20099,42.761444,-5.560454,85.024804,86.709836,89.433586,91.118618,93.842368,149.56984,-77.603058,160.930835,35.983391,-13.609787,16.191922,-30.464039,17.058144,0.033572,28.684904,27.602043,6.193069, -   , -   , -   , -   , -   ,0.64627,0.724468,5.176597,56.843001,59.298981,75.095953,80.207398,0.132261
3/23/2012,2.324043,2.324043,2.209997,2.268664,2.079806,2.437914,2.385667,2.301129,2.245798,2.190467,2.122075,2.037537,1.969145,1.913814,1.858483,1.773945,1.721698,1.918769,2.076816,2.174591,2.253614,2.332637,2.430412,2.588459,1.760722,1.662948,1.583924,1.504901,1.407126,1.249079,2.285801,2.298776,2.30868,2.316379,2.322486,2.32739,2.355892,2.423346,2.288438,0.004184,-0.018335,60.406317,51.309859,58.075126,64.914614,0.002095,"61,02,014.27",24.206349,30.396825,1.381037,-35.07338,-26.410642,-6.154859,37.142857,59.628571,43.390255,42.696247,25.194456,37.229246,-12.03479,86.352467,87.783783,90.097417,91.528733,93.40374,151.555415,-77.603058,160.490499,36.976178,-13.345082,15.876996,-29.871527,16.72637,0.022341,27.533466,25.23059,6.283404, -   , -   , -   , -   , -   ,0.873691,0.751599,8.355825,49.307243,55.226715,68.917182,75.466974,0.112232
3/26/2012,2.296354,2.539331,2.296354,2.435354,2.086847,2.454602,2.400947,2.314132,2.25731,2.200489,2.130254,2.043439,1.973204,1.916383,1.859561,1.772746,1.719091,1.926331,2.086311,2.185282,2.265272,2.345262,2.444233,2.604214,1.76635,1.667379,1.587389,1.507399,1.408428,1.248448,2.385503,2.356594,2.340623,2.332541,2.32919,2.32859,2.358624,2.433774,2.283474,0.036234,0.006752,61.548505,66.688348,66.192149,65.170121,0.004127,"62,52,534.70",23.412698,28.412698,16.99845,-22.577788,-27.726699,-4.167268,72.571429,59.914286,42.827142,43.005099,36.47668,35.268486,1.208194,87.519749,88.754404,90.750148,91.984803,93.980547,154.274205,-77.603058,166.508763,38.335574,-14.325612,17.043558,-32.066336,17.95534,0.03454,27.969163,28.840557,7.578613, -   , -   , -   , -   , -   ,0.734158,0.748428,5.7076,52.640965,52.930403,68.917182,75.466974,0.111876
3/27/2012,2.365854,2.663331,2.365854,2.534664,2.095714,2.478739,2.422856,2.332436,2.273256,2.214075,2.140924,2.050504,1.977353,1.918173,1.858992,1.768572,1.71269,1.933525,2.09622,2.19687,2.278217,2.359565,2.460215,2.62291,1.77083,1.67018,1.588832,1.507485,1.406835,1.24414,2.484944,2.44216,2.408315,2.383057,2.365101,2.352931,2.369234,2.452863,2.285606,0.061289,0.04729,63.503578,72.301407,68.984324,65.932962,0.008152,"61,40,394.03",36.904762,29.365079,21.719961,4.238797,-17.804124,-1.795119,85.428571,60.757143,43.258495,43.030331,48.333956,36.801521,11.532436,88.620503,89.822835,91.766332,92.968664,94.912161,157.325354,-77.603058,171.055523,39.861148,-14.90979,17.73857,-33.373955,18.687533,0.058419,28.538022,29.675742,8.632772, -   , -   , -   , -   , -   ,1.022974,0.798346,6.660069,59.157877,53.702028,67.934221,70.649119,0.131971
3/28/2012,2.450259,2.562664,2.450259,2.519671,2.104109,2.500574,2.44273,2.349138,2.287881,2.226624,2.150906,2.057313,1.981595,1.920338,1.859081,1.765488,1.707645,1.936301,2.101572,2.203816,2.286452,2.369088,2.471332,2.636603,1.771029,1.668785,1.586149,1.503513,1.401269,1.235998,2.508095,2.486117,2.460183,2.434474,2.41135,2.391877,2.385198,2.468389,2.302007,0.052264,0.06533,64.752639,70.373413,59.582764,64.662922,0.010564,"60,42,593.03",47.222222,32.380952,20.151531,32.668359,4.776456,0.57703,80.857143,61.6,46.095228,43.281421,53.877443,40.970634,12.90681,89.648132,90.785711,92.624539,93.762119,95.600947,158.410632,-77.603058,163.294384,40.403787,-14.821593,17.63364,-33.176536,18.576989,0.075503,28.241677,27.648985,9.743318, -   , -   , -   , -   , -   ,1.32191,0.893539,3.330034,70.089196,60.629346,67.934221,70.649119,0.148443
3/29/2012,2.484965,2.545997,2.468664,2.512331,2.112193,2.52225,2.462423,2.365622,2.302265,2.238907,2.160594,2.063792,1.985479,1.922121,1.858764,1.761963,1.702136,1.93841,2.106187,2.209981,2.29387,2.377758,2.481552,2.649329,1.770633,1.666839,1.58295,1.499062,1.395268,1.227491,2.510919,2.502651,2.488495,2.470488,2.450775,2.431143,2.40447,2.487561,2.321379,0.014503,0.060309,65.597206,69.397757,52.918176,62.313973,0.011888,"60,53,832.42",57.539683,37.857143,19.128138,36.708911,24.538689,1.50707,77.714286,62.142857,50.391239,44.167303,56.541817,48.807474,7.734343,90.39115,91.48981,93.265726,94.364386,96.140303,158.920545,-77.603058,161.215151,40.658743,-14.778415,17.58227,-33.079887,18.522871,0.090148,28.278945,28.353481,10.159261, -   , -   , -   , -   , -   ,1.437506,0.992442,2.603905,69.023622,66.090232,68.174809,68.342071,0.157777
3/30/2012,2.498648,2.529331,2.44533,2.489664,2.119668,2.541249,2.479741,2.380219,2.315081,2.249943,2.169429,2.069907,1.989392,1.924254,1.859116,1.759594,1.698086,1.941103,2.111099,2.216267,2.301265,2.386263,2.49143,2.661427,1.771106,1.665939,1.580941,1.495943,1.390775,1.220779,2.496749,2.498717,2.495309,2.487036,2.474949,2.460347,2.424656,2.506263,2.343049,-0.019903,0.041097,65.732119,66.339231,52.610591,60.373297,0.011927,"54,75,783.83",60.714286,45.15873,16.497822,27.817492,32.398254,1.823626,72,62.328571,53.019667,45.459867,56.423703,53.79423,2.629473,90.886653,91.954126,93.67963,94.747103,96.472607,159.871296,-77.603058,164.149676,41.134119,-12.879794,25.524546,-32.299119,21.109011,0.099273,27.689883,26.511759,10.144447, -   , -   , -   , -   , -   ,1.437506,1.073363,3.5245,65.564205,68.225675,68.174809,68.342071,0.161253
04-02-2012,2.494156,2.531331,2.435331,2.473497,2.126674,2.558369,2.495386,2.393476,2.326776,2.260075,2.177629,2.075719,1.993273,1.926572,1.859872,1.757962,1.694979,1.944778,2.116778,2.223186,2.309186,2.395187,2.501594,2.673595,1.772777,1.666369,1.580369,1.494368,1.387961,1.21596,2.481248,2.487071,2.489817,2.48889,2.484243,2.476278,2.443804,2.524661,2.362947,-0.03612,0.019405,65.447552,64.166999,50.74196,58.447029,0.011139,"52,50,110.41",62.698413,53.015873,14.76029,19.804306,28.110236,1.943117,67.428571,62.5,55.732916,47.055591,55.151335,55.498574,-0.34724,91.270105,92.295577,93.953188,94.97866,96.636272,160.438453,-77.603058,162.99066,41.417697,-12.796159,25.358802,-32.089383,20.971939,0.10247,27.594561,27.403917,8.598021, -   , -   , -   , -   , -   ,1.02456,1.06449,3.91899,62.169118,65.585649,69.88216,68.66373,0.174804
04-03-2012,2.483827,2.564637,2.444664,2.49749,2.134017,2.576186,2.511675,2.407293,2.338974,2.270655,2.186208,2.081826,1.997379,1.92906,1.860741,1.756359,1.691848,1.94872,2.122834,2.230548,2.317605,2.404661,2.512376,2.686489,1.774607,1.666893,1.579836,1.492779,1.385065,1.210952,2.492076,2.490408,2.490211,2.489771,2.487928,2.484045,2.461468,2.543537,2.379399,-0.031081,0.00868,65.538727,65.949016,52.213206,57.200265,0.010805,"53,93,054.47",63.492063,58.333333,15.799614,16.075858,21.232552,2.191919,69.714286,63.685714,59.782697,48.760469,55.095898,55.803188,-0.70729,91.611313,92.594879,94.184753,95.168319,96.758193,161.988437,-77.603058,168.963368,42.19269,-12.920282,25.604783,-32.400651,21.175367,0.101371,27.654105,27.773193,7.485589, -   , -   , -   , -   , -   ,0.414532,0.946315,3.550776,61.077943,62.937089,69.88216,68.66373,0.203714
04-04-2012,2.490659,2.490659,2.312664,2.340831,2.138112,2.585194,2.519966,2.414424,2.345346,2.276268,2.190883,2.085342,1.999957,1.930879,1.861801,1.756259,1.691031,1.958679,2.133885,2.242275,2.329877,2.41748,2.52587,2.701075,1.783474,1.675084,1.587481,1.499879,1.391489,1.216283,2.391246,2.4243,2.44627,2.46077,2.469823,2.474563,2.470699,2.548147,2.393251,-0.032542,-0.023466,62.506645,48.862273,42.373,54.234812,0.005935,"37,08,108.89",64.285714,61.746032,5.586484,-6.337511,9.847551,1.126803,32.571429,63.042857,56.392326,49.806427,44.871287,52.885556,-8.014269,91.935063,92.856761,94.346628,95.268326,95.578377,162.125714,-77.603058,162.743457,42.261328,-12.109834,23.998677,-30.368263,19.847105,0.069119,27.04949,25.84026,-4.426866, -   , -   , -   , -   , -   ,0.922688,0.94202,8.758566,50.134338,57.7938,55.710076,64.589015,0.201082
04-05-2012,2.415745,2.415745,2.293998,2.323831,2.14179,2.590809,2.525298,2.419299,2.349922,2.280544,2.194789,2.088791,2.003036,1.933658,1.864281,1.758282,1.692771,1.962374,2.138525,2.2475,2.335575,2.423651,2.532625,2.708776,1.786223,1.677248,1.589173,1.501097,1.392123,1.215972,2.346303,2.372302,2.396958,2.418229,2.435427,2.448472,2.472356,2.549607,2.395104,-0.028763,-0.048469,59.764763,47.426298,40.326126,51.453075,0.001401,"14,61,954.54",65.079365,63.253968,3.982123,-26.753886,-5.671846,-0.290766,29.714286,62.228571,54.723281,50.561325,33.881097,47.249904,-13.368807,92.213072,93.081642,94.485633,95.354203,94.740649,161.241754,-77.603058,157.263934,41.819348,-12.021888,23.82439,-30.147717,19.702968,0.034222,26.259138,24.678434,-6.588772, -   , -   , -   , -   , -   ,1.442697,1.033052,9.494995,39.129465,50.113915,55.710076,64.589015,0.163184
04-09-2012,2.369788,2.369788,2.206665,2.243998,2.143814,2.591786,2.526428,2.420676,2.351461,2.282245,2.19669,2.090938,2.005383,1.936167,1.866952,1.7612,1.695841,1.965503,2.142297,2.251669,2.340065,2.428462,2.537834,2.714627,1.78871,1.679338,1.590942,1.502545,1.393173,1.21638,2.278099,2.3095,2.338653,2.365178,2.388594,2.408554,2.464765,2.539574,2.389956,-0.024448,-0.068799,56.405645,41.289613,35.400831,48.242626,-0.004502,"-23,09,349.52",71.428571,65.396825,-1.749198,-50,-27.697132,-1.807697,13.428571,59.885714,54.723281,51.694627,21.217127,38.766352,-17.549226,91.554087,92.548589,94.15614,95.150642,89.946535,159.364307,-77.603058,150.915797,40.880624,-11.608886,23.005923,-29.112018,19.026089,-0.00831,25.607301,24.303626,-8.627837, -   , -   , -   , -   , -   ,2.03383,1.215012,12.94054,20.71529,36.659697,37.833307,54.475181,0.091185
04-10-2012,2.306893,2.306893,2.139999,2.192648,2.144781,2.588969,2.524163,2.419304,2.350673,2.282043,2.19721,2.092352,2.007519,1.938888,1.870258,1.765399,1.700593,1.968365,2.14548,2.255051,2.343609,2.432166,2.541737,2.718853,1.79125,1.681679,1.593121,1.504564,1.394992,1.217877,2.221132,2.250588,2.279943,2.308355,2.335101,2.359585,2.448186,2.519797,2.376576,-0.020445,-0.08071,53.039756,37.893255,33.405139,45.275128,-0.010598,"-68,59,174.90",81.746032,69.206349,-5.527722,-50,-42.251295,-2.485398,7.142857,56.485714,47.756651,52.187578,9.223426,27.298234,-18.074808,86.848903,88.742563,91.803548,93.697208,83.787918,157.54408,-77.603058,149.353059,39.970511,-11.34324,22.479478,-28.445846,18.590714,-0.048586,24.91626,23.53418,-10.170974, -   , -   , -   , -   , -   ,2.506718,1.449867,15.570711,14.448621,24.764458,37.833307,54.475181,-0.000276
04-11-2012,2.249771,2.249771,2.133997,2.193831,2.145752,2.584117,2.520161,2.416677,2.348946,2.281214,2.197494,2.09401,2.01029,1.942559,1.874828,1.771344,1.707387,1.971563,2.148983,2.258743,2.347453,2.436163,2.545923,2.723343,1.794143,1.684383,1.595672,1.506962,1.397202,1.219782,2.202931,2.218817,2.239192,2.262246,2.286531,2.310883,2.425477,2.497774,2.353179,-0.012721,-0.07591,50.308835,38.019692,38.389914,43.898086,-0.015322,"-1,16,81,783.18",86.111111,73.730159,-5.504086,-49.877512,-49.959171,-3.128932,8.285714,52.828571,37.932783,51.655007,-0.152614,16.042259,-16.194873,82.694562,85.382115,89.726378,92.41393,78.350299,152.350576,-77.603058,128.979809,37.373759,-11.349357,22.491601,-28.461187,18.60074,-0.079795,24.439847,23.487019,-12.558209, -   , -   , -   , -   , -   ,2.832687,1.701289,15.807508,9.84635,15.00342,20.639494,38.060959,-0.100157
04-12-2012,2.221801,2.298664,2.194664,2.243498,2.147688,2.579934,2.51687,2.414831,2.348045,2.281259,2.198708,2.096668,2.014116,1.947331,1.880545,1.778505,1.715441,1.973813,2.151744,2.26182,2.350786,2.439751,2.549827,2.727758,1.795882,1.685806,1.596841,1.507875,1.397799,1.219868,2.229975,2.226256,2.230568,2.241127,2.256262,2.274469,2.401322,2.473805,2.328838,0.001946,-0.051311,49.02466,43.245869,31.072162,41.332901,-0.017586,"-1,66,35,616.04",86.507937,78.174603,-2.224953,-44.692099,-48.18987,-4.259813,19.142857,50.3,30.37596,50.08308,-4.664577,6.405841,-11.070417,80.045826,83.23955,88.402009,91.595734,74.883367,142.727599,-77.603058,99.424199,32.56227,-11.606298,23.000795,-29.105528,19.021848,-0.102273,24.070823,23.332774,-14.879118, -   , -   , -   , -   , -   ,2.221627,1.795896,13.414015,14.016816,12.770596,20.639494,38.060959,-0.188914
4/13/2012,2.232649,2.26933,2.189998,2.240331,2.149522,2.575716,2.513535,2.412925,2.347074,2.281223,2.199828,2.099217,2.017821,1.951971,1.88612,1.785509,1.723328,1.97502,2.153415,2.263779,2.352976,2.442174,2.552537,2.730933,1.796624,1.686261,1.597063,1.507865,1.397502,1.219107,2.236879,2.233338,2.232415,2.235319,2.2423,2.253023,2.377661,2.448644,2.306679,0.011379,-0.026997,47.928708,42.996925,18.811849,36.828691,-0.019327,"-2,15,79,654.37",91.269841,83.412698,-2.40322,-39.747854,-44.772488,-4.02225,19.142857,48.157143,23.177408,47.361697,-8.842908,-1.109168,-7.73374,77.910354,81.512166,87.334274,90.936086,72.088247,134.388106,-77.603058,96.860387,28.392524,-11.589916,22.968328,-29.064445,18.994998,-0.12529,23.135958,21.266228,-14.983684, -   , -   , -   , -   , -   ,1.701618,1.778754,13.598103,17.359424,13.740863,14.706324,24.393042,-0.271366
4/16/2012,2.23649,2.246664,2.139331,2.190831,2.15034,2.570664,2.509339,2.410114,2.345171,2.280227,2.199953,2.100728,2.020453,1.95551,1.890566,1.791341,1.730017,1.976612,2.155357,2.265937,2.35531,2.444682,2.555262,2.734007,1.797867,1.687288,1.597915,1.508542,1.397963,1.219218,2.20618,2.215233,2.22096,2.225746,2.231264,2.238517,2.353273,2.422424,2.284122,0.005504,-0.01932,46.341404,39.198535,18.81036,33.225024,-0.021882,"-2,61,68,373.55",91.666667,87.460317,-5.374575,-38.605835,-41.015263,-4.80163,10.571429,45.628571,16.120459,43.671776,-14.118551,-6.944662,-7.173889,75.667781,79.698148,86.212987,90.243354,69.152942,128.691471,-77.603058,103.056615,25.544206,-11.333839,22.460847,-28.42227,18.575306,-0.153642,21.863929,19.319871,-14.890282, -   , -   , -   , -   , -   ,1.183631,1.67055,15.597066,17.170523,16.182254,14.706324,24.393042,-0.352373
4/17/2012,2.21366,2.21366,2.135997,2.162998,2.150591,2.564701,2.504284,2.406525,2.342542,2.278558,2.19947,2.101712,2.022624,1.95864,1.894657,1.796898,1.73648,1.977837,2.156876,2.267637,2.357157,2.446676,2.557438,2.736477,1.798798,1.688037,1.598518,1.508998,1.398237,1.219198,2.177392,2.190006,2.200324,2.208798,2.216287,2.223697,2.328064,2.395927,2.2602,-0.007212,-0.021849,44.680805,37.208112,18.617935,30.303607,-0.024433,"-3,03,11,287.71",90.079365,89.126984,-5.32142,-43.791247,-40.714979,-5.9149,7.142857,43.185714,9.938234,39.092308,-18.996569,-11.655651,-7.340918,68.670516,74.038056,82.714354,88.081895,59.994217,119.252584,-77.603058,76.777594,20.824763,-11.189849,22.175495,-28.061182,18.339318,-0.184453,20.430552,17.563797,-15.273035, -   , -   , -   , -   , -   ,0.718374,1.497427,15.728602,12.519813,15.683253,13.409441,16.251753,-0.418595
4/18/2012,2.188329,2.188329,2.101998,2.150498,2.150589,2.557752,2.498348,2.40223,2.33932,2.276409,2.198648,2.10253,2.024769,1.961859,1.898948,1.80283,1.743426,1.978616,2.157889,2.268794,2.35843,2.448067,2.558972,2.738245,1.799344,1.688438,1.598802,1.509166,1.39826,1.218988,2.159462,2.169644,2.17987,2.189513,2.198437,2.206857,2.302115,2.370089,2.234141,-0.016832,-0.024954,43.159973,36.316231,18.821828,28.007251,-0.026516,"-2,89,36,885.36",85.714286,89.047619,-7.213777,-48.735493,-43.710858,-6.471734,6.857143,40.885714,2.930205,33.407059,-23.597821,-16.388962,-7.208859,61.026271,67.854623,78.892232,85.720584,49.988662,105.464982,-77.603058,43.420773,13.930962,-11.125182,22.047342,-27.899016,18.233335,-0.212448,19.227712,16.822033,-15.884255, -   , -   , -   , -   , -   ,0.432737,1.303847,17.069963,9.318169,13.002835,13.409441,16.251753,-0.433221
4/19/2012,2.169413,2.228664,2.166665,2.197331,2.151515,2.552356,2.493874,2.399248,2.337315,2.275382,2.198828,2.104202,2.027648,1.965714,1.903781,1.809155,1.750673,1.97955,2.1592,2.270339,2.360164,2.449989,2.561129,2.740779,1.799899,1.68876,1.598935,1.50911,1.39797,1.21832,2.184708,2.179687,2.179748,2.183003,2.188148,2.194384,2.277608,2.345157,2.210058,-0.01194,-0.015205,42.936761,41.932307,23.591058,27.124012,-0.026588,"-2,60,60,744.92",80.555556,87.857143,-4.191293,-43.764695,-45.430479,-7.926013,15.428571,39.014286,4.290177,28.196844,-24.0997,-20.20316,-3.896539,56.046805,63.82673,76.402499,84.182424,43.471036,93.233657,-77.603058,38.192695,7.8153,-11.367465,22.527486,-28.506597,18.630418,-0.227575,18.315208,16.490201,-16.063888, -   , -   , -   , -   , -   ,0.409081,1.141162,14.518659,12.607989,11.48199,13.983217,14.032994,-0.406478
4/20/2012,2.183372,2.248658,2.183372,2.216163,2.152795,2.548137,2.490457,2.39713,2.336046,2.274962,2.199459,2.106131,2.030627,1.969544,1.90846,1.815132,1.757452,1.98065,2.160728,2.272132,2.362171,2.45221,2.563614,2.743692,1.800573,1.689169,1.59913,1.509091,1.397687,1.217609,2.205678,2.197014,2.191259,2.188507,2.188387,2.190386,2.255202,2.322953,2.18745,0.00048,-0.000978,43.142482,44.068222,21.712342,26.041678,-0.025846,"-2,15,82,648.62",67.063492,83.015873,-2.653063,-35.044634,-42.514941,-9.541007,20.571429,37.642857,6.167005,23.341216,-23.09157,-22.446415,-0.645155,52.268879,60.770764,74.513536,83.015421,38.526106,79.303153,-77.603058,16.615881,0.850047,-11.464887,22.720553,-28.750906,18.790086,-0.238037,17.65505,16.334732,-16.215902, -   , -   , -   , -   , -   ,0.411231,1.008448,13.85951,18.588828,13.504995,13.983217,14.032994,-0.357855
4/23/2012,2.199767,2.199767,2.113999,2.157998,2.152898,2.541904,2.485148,2.393317,2.333212,2.273107,2.198814,2.106982,2.032688,1.972584,1.912479,1.820647,1.763892,1.981454,2.161785,2.273346,2.363512,2.453677,2.565238,2.745569,1.801123,1.689562,1.599397,1.509231,1.39767,1.217339,2.173891,2.181599,2.184819,2.186048,2.186828,2.188014,2.232591,2.298665,2.166517,0.004366,-0.002235,42.437348,39.264249,28.018053,26.436953,-0.026558,"-1,59,03,338.80",26.984127,70.079365,-7.174693,-31.728466,-36.845932,-9.97442,8.571429,36.214286,6.674253,18.536313,-26.434635,-24.305931,-2.128704,48.734025,57.911419,72.746109,81.923503,33.899335,79.303153,-69.174462,-31.24578,5.064345,-11.163983,22.124236,-27.996318,18.296927,-0.261157,16.963134,15.579303,-15.850771, -   , -   , -   , -   , -   ,0.411231,0.899863,16.596488,19.129224,16.775347,13.820772,13.73781,-0.30419
4/24/2012,2.178883,2.178883,2.066665,2.113999,2.152128,2.534617,2.478813,2.388519,2.329421,2.270323,2.197274,2.106981,2.033932,1.974834,1.915736,1.825442,1.769638,1.982049,2.16254,2.2742,2.364445,2.454691,2.566351,2.746842,1.801558,1.689899,1.599653,1.509408,1.397748,1.217257,2.133963,2.149841,2.161501,2.169683,2.175398,2.179603,2.208459,2.273803,2.143116,-0.001609,-0.014733,41.278142,36.061714,30.144508,27.178464,-0.027995,"-1,05,67,025.55",21.031746,56.269841,-9.826749,-37.963771,-34.91229,-9.738883,6,32.885714,6.674253,14.428074,-31.058317,-26.171056,-4.887262,45.563991,55.347176,71.161092,80.944277,29.750075,79.303153,-66.025198,-51.853512,6.638977,-10.936361,21.673144,-27.425501,17.92387,-0.273358,16.543167,15.703233,-16.60368, -   , -   , -   , -   , -   ,0.411231,0.811021,18.463954,15.981684,17.899912,13.820772,13.73781,-0.253429
